Date,Revenue / Sales,Expenses,Profit,Assets,Liabilities,Cash In,Cash Out,Department,Category
2024-01-31,800,0,800,69820,16760,800,0,Salle,Ventes evenements
2024-01-31,380,0,380,69820,16760,380,0,Cuisine,Ventes plats a emporter
2024-01-31,710,0,710,69820,16760,710,0,Salle,Ventes repas midi
2024-02-01,0,550,-550,75400,16870,0,550,Administration,Electricite / Eau
2024-02-01,0,290,-290,75400,16870,0,290,Administration,Taxes / Impots
2024-02-01,0,370,-370,75400,16870,0,370,Cuisine,Gaz
2024-02-01,0,2540,-2540,75400,16870,0,2540,Administration,Loyer
2024-02-01,950,0,950,75400,16870,950,0,Salle,Ventes evenements
2024-02-01,0,290,-290,75400,16870,0,290,Cuisine,Achats fournisseurs
2024-02-01,750,0,750,75400,16870,750,0,Salle,Ventes bar
2024-02-01,550,0,550,75400,16870,550,0,Salle,Ventes repas soir
2024-02-02,1290,0,1290,67000,16850,1290,0,Salle,Ventes bar
2024-02-02,630,0,630,67000,16850,630,0,Cuisine,Ventes plats a emporter
2024-02-02,660,0,660,67000,16850,660,0,Salle,Ventes repas soir
2024-02-02,0,170,-170,67000,16850,0,170,Cuisine,Produits menagers
2024-02-02,0,2520,-2520,67000,16850,0,2520,Administration,Salaires
2024-02-03,560,0,560,69030,16700,560,0,Salle,Ventes bar
2024-02-03,240,0,240,69030,16700,240,0,Salle,Ventes repas soir
2024-02-03,970,0,970,69030,16700,970,0,Salle,Ventes evenements
2024-02-04,0,480,-480,71160,16920,0,480,Cuisine,Achats fournisseurs
2024-02-04,0,110,-110,71160,16920,0,110,Cuisine,Produits menagers
2024-02-05,0,340,-340,72750,17140,0,340,Administration,Marketing / Pub
2024-02-05,0,180,-180,72750,17140,0,180,Cuisine,Produits menagers
2024-02-05,0,460,-460,72750,17140,0,460,Cuisine,Achats fournisseurs
2024-02-05,650,0,650,72750,17140,650,0,Salle,Ventes repas midi
2024-02-05,350,0,350,72750,17140,350,0,Salle,Ventes bar
2024-02-05,620,0,620,72750,17140,620,0,Cuisine,Ventes plats a emporter
2024-02-06,920,0,920,73050,17350,920,0,Salle,Ventes bar
2024-02-06,680,0,680,73050,17350,680,0,Salle,Ventes evenements
2024-02-06,690,0,690,73050,17350,690,0,Salle,Ventes repas midi
2024-02-06,0,190,-190,73050,17350,0,190,Cuisine,Achats fournisseurs
2024-02-07,0,130,-130,78920,17210,0,130,Salle,Maintenance
2024-02-07,390,0,390,78920,17210,390,0,Cuisine,Ventes plats a emporter
2024-02-07,300,0,300,78920,17210,300,0,Salle,Ventes evenements
2024-02-07,730,0,730,78920,17210,730,0,Salle,Ventes repas midi
2024-02-08,520,0,520,79740,17330,520,0,Salle,Ventes evenements
2024-02-08,680,0,680,79740,17330,680,0,Salle,Ventes bar
2024-02-08,340,0,340,79740,17330,340,0,Cuisine,Ventes plats a emporter
2024-02-09,390,0,390,72900,17490,390,0,Salle,Ventes bar
2024-02-09,340,0,340,72900,17490,340,0,Salle,Ventes repas soir
2024-02-09,740,0,740,72900,17490,740,0,Salle,Ventes repas midi
2024-02-09,0,2640,-2640,72900,17490,0,2640,Administration,Salaires
2024-02-10,1280,0,1280,74400,17770,1280,0,Salle,Ventes repas midi
2024-02-10,470,0,470,74400,17770,470,0,Salle,Ventes repas soir
2024-02-10,1440,0,1440,74400,17770,1440,0,Salle,Ventes bar
2024-02-10,0,470,-470,74400,17770,0,470,Cuisine,Achats fournisseurs
2024-02-10,0,190,-190,74400,17770,0,190,Cuisine,Produits menagers
2024-02-11,0,460,-460,74280,17890,0,460,Cuisine,Achats fournisseurs
2024-02-11,0,90,-90,74280,17890,0,90,Cuisine,Produits menagers
2024-02-12,0,520,-520,83480,17700,0,520,Cuisine,Achats fournisseurs
2024-02-12,0,150,-150,83480,17700,0,150,Cuisine,Produits menagers
2024-02-12,890,0,890,83480,17700,890,0,Salle,Ventes repas midi
2024-02-12,340,0,340,83480,17700,340,0,Salle,Ventes evenements
2024-02-12,590,0,590,83480,17700,590,0,Salle,Ventes bar
2024-02-13,550,0,550,84230,17730,550,0,Salle,Ventes repas midi
2024-02-13,730,0,730,84230,17730,730,0,Cuisine,Ventes plats a emporter
2024-02-13,760,0,760,84230,17730,760,0,Salle,Ventes evenements
2024-02-13,0,280,-280,84230,17730,0,280,Cuisine,Achats fournisseurs
2024-02-13,0,60,-60,84230,17730,0,60,Cuisine,Produits menagers
2024-02-14,550,0,550,79830,17990,550,0,Salle,Ventes repas midi
2024-02-14,620,0,620,79830,17990,620,0,Salle,Ventes bar
2024-02-14,1040,0,1040,79830,17990,1040,0,Cuisine,Ventes plats a emporter
2024-02-15,510,0,510,89190,17920,510,0,Salle,Ventes bar
2024-02-15,170,0,170,89190,17920,170,0,Salle,Ventes evenements
2024-02-15,470,0,470,89190,17920,470,0,Salle,Ventes repas midi
2024-02-15,0,170,-170,89190,17920,0,170,Cuisine,Produits menagers
2024-02-16,0,1900,-1900,83670,17790,0,1900,Administration,Salaires
2024-02-16,0,370,-370,83670,17790,0,370,Cuisine,Achats fournisseurs
2024-02-16,1150,0,1150,83670,17790,1150,0,Salle,Ventes evenements
2024-02-16,690,0,690,83670,17790,690,0,Salle,Ventes bar
2024-02-16,840,0,840,83670,17790,840,0,Cuisine,Ventes plats a emporter
2024-02-17,1170,0,1170,88140,17730,1170,0,Salle,Ventes repas midi
2024-02-17,960,0,960,88140,17730,960,0,Salle,Ventes evenements
2024-02-17,1100,0,1100,88140,17730,1100,0,Cuisine,Ventes plats a emporter
2024-02-17,0,320,-320,88140,17730,0,320,Cuisine,Achats fournisseurs
2024-02-17,0,70,-70,88140,17730,0,70,Cuisine,Produits menagers
2024-02-18,0,320,-320,86410,17960,0,320,Cuisine,Achats fournisseurs
2024-02-19,550,0,550,86610,18130,550,0,Salle,Ventes repas soir
2024-02-19,290,0,290,86610,18130,290,0,Cuisine,Ventes plats a emporter
2024-02-19,780,0,780,86610,18130,780,0,Salle,Ventes repas midi
2024-02-19,0,250,-250,86610,18130,0,250,Cuisine,Achats fournisseurs
2024-02-20,0,390,-390,91870,17940,0,390,Administration,Marketing / Pub
2024-02-20,0,530,-530,91870,17940,0,530,Cuisine,Achats fournisseurs
2024-02-20,440,0,440,91870,17940,440,0,Salle,Ventes bar
2024-02-20,560,0,560,91870,17940,560,0,Cuisine,Ventes plats a emporter
2024-02-20,590,0,590,91870,17940,590,0,Salle,Ventes evenements
2024-02-21,670,0,670,90770,17980,670,0,Salle,Ventes repas midi
2024-02-21,270,0,270,90770,17980,270,0,Salle,Ventes evenements
2024-02-21,670,0,670,90770,17980,670,0,Salle,Ventes bar
2024-02-21,0,300,-300,90770,17980,0,300,Cuisine,Achats fournisseurs
2024-02-22,570,0,570,93380,18030,570,0,Cuisine,Ventes plats a emporter
2024-02-22,180,0,180,93380,18030,180,0,Salle,Ventes evenements
2024-02-22,610,0,610,93380,18030,610,0,Salle,Ventes bar
2024-02-22,0,210,-210,93380,18030,0,210,Cuisine,Achats fournisseurs
2024-02-23,0,2990,-2990,91940,18040,0,2990,Administration,Salaires
2024-02-23,1270,0,1270,91940,18040,1270,0,Salle,Ventes evenements
2024-02-23,0,360,-360,91940,18040,0,360,Cuisine,Achats fournisseurs
2024-02-23,520,0,520,91940,18040,520,0,Salle,Ventes bar
2024-02-23,530,0,530,91940,18040,530,0,Cuisine,Ventes plats a emporter
2024-02-24,1180,0,1180,92620,18310,1180,0,Salle,Ventes bar
2024-02-24,730,0,730,92620,18310,730,0,Salle,Ventes repas soir
2024-02-24,1390,0,1390,92620,18310,1390,0,Salle,Ventes repas midi
2024-02-24,0,60,-60,92620,18310,0,60,Cuisine,Produits menagers
2024-02-25,0,540,-540,92690,18200,0,540,Cuisine,Achats fournisseurs
2024-02-25,0,190,-190,92690,18200,0,190,Cuisine,Produits menagers
2024-02-26,250,0,250,93180,18460,250,0,Salle,Ventes evenements
2024-02-26,190,0,190,93180,18460,190,0,Salle,Ventes bar
2024-02-26,780,0,780,93180,18460,780,0,Salle,Ventes repas soir
2024-02-26,0,140,-140,93180,18460,0,140,Cuisine,Achats fournisseurs
2024-02-26,0,150,-150,93180,18460,0,150,Cuisine,Produits menagers
2024-02-27,0,160,-160,100300,18490,0,160,Cuisine,Produits menagers
2024-02-27,0,240,-240,100300,18490,0,240,Cuisine,Achats fournisseurs
2024-02-27,400,0,400,100300,18490,400,0,Salle,Ventes repas midi
2024-02-27,350,0,350,100300,18490,350,0,Salle,Ventes repas soir
2024-02-27,640,0,640,100300,18490,640,0,Salle,Ventes bar
2024-02-28,720,0,720,95280,18520,720,0,Salle,Ventes repas soir
2024-02-28,210,0,210,95280,18520,210,0,Salle,Ventes bar
2024-02-28,570,0,570,95280,18520,570,0,Cuisine,Ventes plats a emporter
2024-02-29,350,0,350,97040,18660,350,0,Salle,Ventes repas midi
2024-02-29,250,0,250,97040,18660,250,0,Salle,Ventes evenements
2024-02-29,830,0,830,97040,18660,830,0,Salle,Ventes repas soir
2024-02-29,0,270,-270,97040,18660,0,270,Cuisine,Achats fournisseurs
2024-02-29,0,70,-70,97040,18660,0,70,Cuisine,Produits menagers
2024-03-01,0,720,-720,93290,18550,0,720,Administration,Electricite / Eau
2024-03-01,0,230,-230,93290,18550,0,230,Cuisine,Gaz
2024-03-01,0,2650,-2650,93290,18550,0,2650,Administration,Loyer
2024-03-01,0,470,-470,93290,18550,0,470,Administration,Taxes / Impots
2024-03-01,1100,0,1100,93290,18550,1100,0,Salle,Ventes repas soir
2024-03-01,730,0,730,93290,18550,730,0,Salle,Ventes bar
2024-03-01,990,0,990,93290,18550,990,0,Cuisine,Ventes plats a emporter
2024-03-01,0,2610,-2610,93290,18550,0,2610,Administration,Salaires
2024-03-02,880,0,880,101360,18520,880,0,Cuisine,Ventes plats a emporter
2024-03-02,840,0,840,101360,18520,840,0,Salle,Ventes bar
2024-03-02,770,0,770,101360,18520,770,0,Salle,Ventes repas midi
2024-03-04,610,0,610,103140,18400,610,0,Salle,Ventes bar
2024-03-04,530,0,530,103140,18400,530,0,Salle,Ventes evenements
2024-03-04,1180,0,1180,103140,18400,1180,0,Salle,Ventes repas soir
2024-03-05,510,0,510,104970,18210,510,0,Salle,Ventes bar
2024-03-05,500,0,500,104970,18210,500,0,Cuisine,Ventes plats a emporter
2024-03-05,1060,0,1060,104970,18210,1060,0,Salle,Ventes repas soir
2024-03-05,0,500,-500,104970,18210,0,500,Cuisine,Achats fournisseurs
2024-03-05,0,240,-240,104970,18210,0,240,Administration,Marketing / Pub
2024-03-06,0,90,-90,99960,18480,0,90,Cuisine,Produits menagers
2024-03-06,0,370,-370,99960,18480,0,370,Cuisine,Achats fournisseurs
2024-03-06,0,380,-380,99960,18480,0,380,Salle,Maintenance
2024-03-06,430,0,430,99960,18480,430,0,Cuisine,Ventes plats a emporter
2024-03-06,840,0,840,99960,18480,840,0,Salle,Ventes bar
2024-03-06,1170,0,1170,99960,18480,1170,0,Salle,Ventes repas soir
2024-03-07,670,0,670,99170,18540,670,0,Salle,Ventes repas soir
2024-03-07,490,0,490,99170,18540,490,0,Salle,Ventes bar
2024-03-07,940,0,940,99170,18540,940,0,Cuisine,Ventes plats a emporter
2024-03-07,0,330,-330,99170,18540,0,330,Cuisine,Achats fournisseurs
2024-03-08,0,2680,-2680,106800,18520,0,2680,Administration,Salaires
2024-03-08,0,230,-230,106800,18520,0,230,Cuisine,Achats fournisseurs
2024-03-08,820,0,820,106800,18520,820,0,Cuisine,Ventes plats a emporter
2024-03-08,1110,0,1110,106800,18520,1110,0,Salle,Ventes bar
2024-03-08,1410,0,1410,106800,18520,1410,0,Salle,Ventes repas midi
2024-03-09,660,0,660,106550,18690,660,0,Salle,Ventes evenements
2024-03-09,300,0,300,106550,18690,300,0,Salle,Ventes repas soir
2024-03-09,1030,0,1030,106550,18690,1030,0,Salle,Ventes repas midi
2024-03-09,0,410,-410,106550,18690,0,410,Cuisine,Achats fournisseurs
2024-03-10,0,600,-600,100810,18980,0,600,Cuisine,Achats fournisseurs
2024-03-11,0,530,-530,109890,19050,0,530,Cuisine,Achats fournisseurs
2024-03-11,760,0,760,109890,19050,760,0,Salle,Ventes repas soir
2024-03-11,800,0,800,109890,19050,800,0,Salle,Ventes evenements
2024-03-11,640,0,640,109890,19050,640,0,Cuisine,Ventes plats a emporter
2024-03-12,580,0,580,109160,19190,580,0,Salle,Ventes repas soir
2024-03-12,300,0,300,109160,19190,300,0,Salle,Ventes bar
2024-03-12,710,0,710,109160,19190,710,0,Salle,Ventes evenements
2024-03-12,0,220,-220,109160,19190,0,220,Cuisine,Achats fournisseurs
2024-03-13,930,0,930,106650,19370,930,0,Salle,Ventes evenements
2024-03-13,280,0,280,106650,19370,280,0,Salle,Ventes repas midi
2024-03-13,890,0,890,106650,19370,890,0,Cuisine,Ventes plats a emporter
2024-03-14,730,0,730,117420,19320,730,0,Cuisine,Ventes plats a emporter
2024-03-14,810,0,810,117420,19320,810,0,Salle,Ventes repas midi
2024-03-14,930,0,930,117420,19320,930,0,Salle,Ventes evenements
2024-03-14,0,100,-100,117420,19320,0,100,Cuisine,Produits menagers
2024-03-15,0,1920,-1920,115380,19460,0,1920,Administration,Salaires
2024-03-15,650,0,650,115380,19460,650,0,Salle,Ventes bar
2024-03-15,1000,0,1000,115380,19460,1000,0,Salle,Ventes repas soir
2024-03-15,600,0,600,115380,19460,600,0,Salle,Ventes repas midi
2024-03-16,1220,0,1220,114880,19380,1220,0,Salle,Ventes bar
2024-03-16,540,0,540,114880,19380,540,0,Salle,Ventes evenements
2024-03-16,830,0,830,114880,19380,830,0,Salle,Ventes repas midi
2024-03-16,0,200,-200,114880,19380,0,200,Cuisine,Achats fournisseurs
2024-03-16,0,100,-100,114880,19380,0,100,Cuisine,Produits menagers
2024-03-18,440,0,440,111780,19220,440,0,Salle,Ventes evenements
2024-03-18,400,0,400,111780,19220,400,0,Salle,Ventes repas midi
2024-03-18,430,0,430,111780,19220,430,0,Salle,Ventes repas soir
2024-03-18,0,390,-390,111780,19220,0,390,Cuisine,Achats fournisseurs
2024-03-18,0,330,-330,111780,19220,0,330,Salle,Maintenance
2024-03-19,810,0,810,118390,19340,810,0,Salle,Ventes evenements
2024-03-19,660,0,660,118390,19340,660,0,Salle,Ventes repas midi
2024-03-19,360,0,360,118390,19340,360,0,Salle,Ventes repas soir
2024-03-19,0,220,-220,118390,19340,0,220,Cuisine,Achats fournisseurs
2024-03-20,0,380,-380,119880,19500,0,380,Administration,Marketing / Pub
2024-03-20,0,180,-180,119880,19500,0,180,Cuisine,Produits menagers
2024-03-20,490,0,490,119880,19500,490,0,Salle,Ventes repas midi
2024-03-20,500,0,500,119880,19500,500,0,Salle,Ventes repas soir
2024-03-20,990,0,990,119880,19500,990,0,Salle,Ventes evenements
2024-03-21,770,0,770,115080,19330,770,0,Salle,Ventes evenements
2024-03-21,250,0,250,115080,19330,250,0,Salle,Ventes repas midi
2024-03-21,710,0,710,115080,19330,710,0,Salle,Ventes bar
2024-03-21,0,450,-450,115080,19330,0,450,Cuisine,Achats fournisseurs
2024-03-21,0,160,-160,115080,19330,0,160,Cuisine,Produits menagers
2024-03-22,690,0,690,118760,19600,690,0,Salle,Ventes evenements
2024-03-22,1050,0,1050,118760,19600,1050,0,Salle,Ventes bar
2024-03-22,980,0,980,118760,19600,980,0,Salle,Ventes repas soir
2024-03-22,0,2300,-2300,118760,19600,0,2300,Administration,Salaires
2024-03-23,1450,0,1450,127720,19800,1450,0,Salle,Ventes repas midi
2024-03-23,0,150,-150,127720,19800,0,150,Cuisine,Produits menagers
2024-03-23,1260,0,1260,127720,19800,1260,0,Salle,Ventes evenements
2024-03-23,1130,0,1130,127720,19800,1130,0,Salle,Ventes repas soir
2024-03-25,0,630,-630,127010,19700,0,630,Cuisine,Achats fournisseurs
2024-03-25,720,0,720,127010,19700,720,0,Salle,Ventes bar
2024-03-25,720,0,720,127010,19700,720,0,Cuisine,Ventes plats a emporter
2024-03-25,230,0,230,127010,19700,230,0,Salle,Ventes evenements
2024-03-26,570,0,570,129130,19510,570,0,Salle,Ventes repas soir
2024-03-26,300,0,300,129130,19510,300,0,Salle,Ventes evenements
2024-03-26,390,0,390,129130,19510,390,0,Salle,Ventes repas midi
2024-03-27,980,0,980,130740,19450,980,0,Salle,Ventes evenements
2024-03-27,570,0,570,130740,19450,570,0,Salle,Ventes repas soir
2024-03-27,660,0,660,130740,19450,660,0,Cuisine,Ventes plats a emporter
2024-03-28,1120,0,1120,130390,19500,1120,0,Salle,Ventes evenements
2024-03-28,780,0,780,130390,19500,780,0,Salle,Ventes bar
2024-03-28,390,0,390,130390,19500,390,0,Salle,Ventes repas soir
2024-03-28,0,560,-560,130390,19500,0,560,Cuisine,Achats fournisseurs
2024-03-29,580,0,580,129180,19720,580,0,Salle,Ventes bar
2024-03-29,0,2960,-2960,129180,19720,0,2960,Administration,Salaires
2024-03-29,0,310,-310,129180,19720,0,310,Cuisine,Achats fournisseurs
2024-03-29,1270,0,1270,129180,19720,1270,0,Salle,Ventes repas soir
2024-03-29,1210,0,1210,129180,19720,1210,0,Cuisine,Ventes plats a emporter
2024-03-30,760,0,760,133860,19940,760,0,Salle,Ventes evenements
2024-03-30,590,0,590,133860,19940,590,0,Salle,Ventes bar
2024-03-30,1470,0,1470,133860,19940,1470,0,Salle,Ventes repas soir
2024-03-30,0,170,-170,133860,19940,0,170,Cuisine,Achats fournisseurs
2024-03-30,0,80,-80,133860,19940,0,80,Cuisine,Produits menagers
2024-03-31,0,550,-550,130630,19840,0,550,Cuisine,Achats fournisseurs
2024-03-31,0,100,-100,130630,19840,0,100,Cuisine,Produits menagers
2024-04-01,0,590,-590,134220,20140,0,590,Administration,Electricite / Eau
2024-04-01,0,440,-440,134220,20140,0,440,Administration,Taxes / Impots
2024-04-01,0,460,-460,134220,20140,0,460,Administration,Assurances
2024-04-01,0,460,-460,134220,20140,0,460,Cuisine,Gaz
2024-04-01,0,150,-150,134220,20140,0,150,Cuisine,Produits menagers
2024-04-01,870,0,870,134220,20140,870,0,Cuisine,Ventes plats a emporter
2024-04-01,750,0,750,134220,20140,750,0,Salle,Ventes bar
2024-04-01,850,0,850,134220,20140,850,0,Salle,Ventes repas midi
2024-04-01,0,1940,-1940,134220,20140,0,1940,Administration,Loyer
2024-04-02,940,0,940,132010,20320,940,0,Salle,Ventes repas soir
2024-04-02,290,0,290,132010,20320,290,0,Salle,Ventes bar
2024-04-02,730,0,730,132010,20320,730,0,Cuisine,Ventes plats a emporter
2024-04-03,1300,0,1300,139470,20400,1300,0,Salle,Ventes repas soir
2024-04-03,1090,0,1090,139470,20400,1090,0,Cuisine,Ventes plats a emporter
