Transaction_ID,Transaction_Date,Year,Month,City,Country,Postal_Code,Neighborhood,Property_Type,Property_Status,Condition,Year_Built,Area_Sqm,Rooms,Bedrooms,Bathrooms,Price_EUR,Monthly_Rent_EUR,Annual_Rental_Yield_Pct,Price_Per_Sqm_EUR,GDP_Growth_Pct,Inflation_Rate_Pct,Interest_Rate_Pct,Unemployment_Rate_Pct,Consumer_Confidence,Construction_Permits,New_Constructions,Demand_Score,Supply_Score,Market_Balance,Is_Hotspot,Internet_Type,Has_Parking,Has_Elevator,Public_Transport,Schools_Nearby,Shops_Nearby
RE000034,2021-01-16,2021,1,Phoenix,USA,24871,Quartier d'affaires,Maison,En construction,Bon etat,2019,411,4,3,2,1355000,0,0.0,3296.84,1.4,4.0,3.3,4.3,62,9920,4213,47,28,Demande > Offre,Non,ADSL,Non,Non,Moyen (5-15 min),Non,Oui
RE000035,2023-03-04,2023,3,Austin,USA,86931,Quartier d'affaires,Villa,En construction,Bon etat,1944,308,7,6,4,2319000,0,0.0,7529.22,4.5,7.0,5.9,5.1,74,3926,3415,35,60,Offre > Demande,Non,Sans fil,Non,Non,Moyen (5-15 min),Oui,Non
RE000036,2020-05-31,2020,5,Bordeaux,France,75836,Ouest,Maison,Loue,Tres bon etat,1901,305,3,2,2,2181000,14250,7.8,7150.82,-1.5,6.4,2.3,8.6,75,1415,2741,78,60,Demande > Offre,Oui,Sans fil,Oui,Non,Loin (plus 15 min),Oui,Oui
RE000037,2023-03-23,2023,3,Phoenix,USA,21846,Quartier residentiel,Maison,Loue,Neuf,2011,469,8,7,5,1906000,7150,4.5,4063.97,-1.8,2.9,1.3,6.2,77,2485,2050,82,43,Demande > Offre,Oui,Fibre 500Mbps,Oui,Non,Proche (moins 5 min),Non,Oui
RE000038,2025-07-31,2025,7,Melbourne,Australia,28758,Sud,Bureau,A vendre,Bon etat,1958,703,5,0,1,3417000,0,0.0,4860.6,0.0,4.6,1.4,11.5,87,5001,3525,62,78,Offre > Demande,Non,ADSL,Oui,Non,Moyen (5-15 min),Non,Oui
RE000039,2022-08-29,2022,8,Glasgow,UK,84963,Ouest,Entrepot,Vendu,A renover,1902,805,5,0,1,1634000,0,0.0,2029.81,3.4,7.8,5.6,9.7,68,3870,2936,58,44,Demande > Offre,Non,ADSL,Oui,Non,Loin (plus 15 min),Oui,Oui
RE000040,2023-06-19,2023,6,Edinburgh,UK,14373,Ouest,Villa,A louer,A renover,1995,126,5,4,3,417000,2400,6.9,3309.52,4.1,3.2,3.5,5.5,60,4310,3997,67,63,Demande > Offre,Non,Fibre 1Gbps,Non,Non,Proche (moins 5 min),Oui,Oui
RE000041,2024-06-15,2024,6,Tokyo,Japan,57942,Peripherie,Duplex,Vendu,Bon etat,1958,87,5,4,1,646000,0,0.0,7425.29,4.6,1.3,2.2,3.2,85,5474,1863,38,79,Offre > Demande,Non,ADSL,Non,Non,Proche (moins 5 min),Oui,Oui
RE000042,2020-06-01,2020,6,Austin,USA,74569,Peripherie,Maison,Vendu,A renover,1949,200,7,6,2,673000,0,0.0,3365.0,4.6,3.6,4.7,4.4,76,1722,4058,82,55,Demande > Offre,Oui,Fibre 1Gbps,Non,Non,Proche (moins 5 min),Non,Non
RE000043,2022-08-25,2022,8,Leeds,UK,23022,Ouest,Local Commercial,Vendu,A renover,1907,710,6,0,1,2804000,0,0.0,3949.3,3.9,3.9,4.3,8.8,88,449,464,72,51,Demande > Offre,Non,Fibre 500Mbps,Oui,Non,Proche (moins 5 min),Oui,Oui
RE000044,2022-08-12,2022,8,Manchester,UK,29340,Centre,Loft,A louer,Bon etat,1969,1958,3,2,1,6598000,40300,7.3,3369.77,-1.1,3.2,4.9,8.3,51,2954,2223,36,36,Equilibre,Non,Sans fil,Oui,Non,Loin (plus 15 min),Oui,Non
RE000045,2025-01-10,2025,1,Leeds,UK,77271,Peripherie,Bureau,A vendre,Ancien,2021,565,4,0,1,1420000,0,0.0,2513.27,2.6,2.8,4.2,3.3,80,6680,3542,43,82,Offre > Demande,Non,Sans fil,Oui,Non,Proche (moins 5 min),Non,Oui
RE000046,2020-09-26,2020,9,Bordeaux,France,46046,Ouest,Duplex,En construction,Ancien,1958,385,7,6,3,1700000,0,0.0,4415.58,-1.2,5.4,5.4,8.0,63,7146,3749,59,72,Offre > Demande,Non,ADSL,Non,Non,Moyen (5-15 min),Non,Oui
RE000047,2023-07-04,2023,7,Sheffield,UK,50963,Est,Penthouse,A vendre,A renover,2018,394,4,3,3,1359000,0,0.0,3449.24,1.0,6.1,2.9,4.2,53,9708,4650,72,35,Demande > Offre,Non,Sans fil,Non,Non,Loin (plus 15 min),Oui,Non
RE000048,2023-07-03,2023,7,Birmingham,UK,23579,Sud,Villa,Vendu,Neuf,2008,416,6,5,2,2522000,0,0.0,6062.5,3.3,4.8,5.0,10.6,99,9221,265,64,23,Demande > Offre,Non,Fibre 500Mbps,Non,Non,Loin (plus 15 min),Non,Non
RE000049,2023-12-08,2023,12,Paris,France,33777,Nord,Entrepot,A vendre,Tres bon etat,1908,1546,7,0,1,9785000,0,0.0,6329.24,0.6,3.9,1.8,5.8,70,9399,4934,40,26,Demande > Offre,Non,Fibre 500Mbps,Oui,Non,Loin (plus 15 min),Oui,Oui
RE000050,2023-01-19,2023,1,Edinburgh,UK,96761,Quartier residentiel,Bureau,A louer,Bon etat,1953,671,8,0,1,2662000,7900,3.6,3967.21,1.0,2.6,4.4,7.4,92,5153,422,58,70,Offre > Demande,Non,Fibre 1Gbps,Oui,Non,Proche (moins 5 min),Non,Oui
RE000051,2021-07-16,2021,7,San Antonio,USA,47938,Ouest,Maison,Loue,Tres bon etat,1922,83,6,5,4,459000,1600,4.2,5530.12,1.9,5.5,2.8,6.6,97,793,3623,32,78,Offre > Demande,Non,Fibre 1Gbps,Non,Non,Loin (plus 15 min),Non,Non
RE000052,2024-09-06,2024,9,Dallas,USA,25096,Quartier residentiel,Appartement,A vendre,Bon etat,2006,103,2,1,1,240000,0,0.0,2330.1,1.0,3.5,1.4,10.8,97,5662,1865,72,41,Demande > Offre,Non,Fibre 1Gbps,Oui,Oui,Moyen (5-15 min),Non,Oui
RE000053,2022-08-25,2022,8,Strasbourg,France,29194,Est,Studio,A louer,Neuf,1997,64,1,1,1,210000,1050,6.0,3281.25,1.2,4.7,3.9,9.1,86,5395,2639,49,76,Offre > Demande,Non,Fibre 1Gbps,Non,Non,Loin (plus 15 min),Non,Non
RE000054,2020-08-18,2020,8,Birmingham,UK,76497,Peripherie,Loft,Vendu,Bon etat,1907,1145,8,7,1,4209000,0,0.0,3675.98,4.0,5.1,3.5,7.2,85,772,3734,54,61,Offre > Demande,Non,Sans fil,Oui,Non,Proche (moins 5 min),Non,Oui
RE000055,2023-11-07,2023,11,Nantes,France,76132,Nord,Appartement,En construction,Ancien,1967,83,4,3,2,197000,0,0.0,2373.49,-0.0,3.6,2.7,8.4,100,5582,589,72,32,Demande > Offre,Non,Sans fil,Non,Non,Loin (plus 15 min),Oui,Non
RE000056,2020-11-29,2020,11,Melbourne,Australia,96980,Nord,Penthouse,Vendu,Neuf,1976,229,6,5,2,2643000,0,0.0,11541.48,0.3,1.5,4.5,11.5,93,8724,815,84,85,Offre > Demande,Oui,ADSL,Oui,Non,Moyen (5-15 min),Oui,Oui
RE000057,2023-10-31,2023,10,Abu Dhabi,UAE,35166,Sud,Villa,En construction,Neuf,2008,159,3,2,2,1653000,0,0.0,10396.23,4.2,0.8,2.7,9.9,58,9885,3136,49,40,Demande > Offre,Non,Fibre 500Mbps,Oui,Non,Loin (plus 15 min),Non,Oui
RE000058,2024-08-09,2024,8,Leeds,UK,98652,Sud,Bureau,A louer,A renover,1996,675,5,0,1,1482000,5600,4.5,2195.56,3.7,4.0,5.2,6.3,86,7318,3832,66,68,Offre > Demande,Non,Sans fil,Oui,Non,Proche (moins 5 min),Oui,Non
RE000059,2020-08-01,2020,8,Dubai,UAE,58655,Peripherie,Local Commercial,Vendu,Tres bon etat,1910,177,5,0,1,2062000,0,0.0,11649.72,3.8,1.2,5.6,10.4,72,536,3448,36,70,Offre > Demande,Non,ADSL,Oui,Non,Moyen (5-15 min),Oui,Non
RE000060,2022-07-08,2022,7,Lyon,France,51770,Peripherie,Penthouse,Loue,Bon etat,1904,352,4,3,1,3888000,11950,3.7,11045.45,2.9,3.9,1.0,3.7,66,3633,1274,84,34,Demande > Offre,Oui,ADSL,Oui,Non,Proche (moins 5 min),Oui,Oui
RE000061,2024-09-15,2024,9,Vancouver,Canada,69914,Peripherie,Maison,En construction,Ancien,1902,335,7,6,5,1915000,0,0.0,5716.42,1.0,5.1,2.2,6.7,92,1502,4338,76,28,Demande > Offre,Oui,Fibre 1Gbps,Non,Non,Moyen (5-15 min),Oui,Non
RE000062,2024-03-09,2024,3,San Antonio,USA,12128,Ouest,Maison,En construction,Neuf,1984,256,4,3,3,1393000,0,0.0,5441.41,-1.7,4.6,5.1,4.6,99,7712,3970,53,37,Demande > Offre,Non,Fibre 1Gbps,Non,Non,Proche (moins 5 min),Non,Oui
RE000063,2020-06-28,2020,6,Chicago,USA,15492,Ouest,Loft,A vendre,Bon etat,1960,1255,7,6,5,7112000,0,0.0,5666.93,0.5,6.4,5.3,6.0,57,6129,3629,81,76,Demande > Offre,Oui,Sans fil,Non,Non,Proche (moins 5 min),Non,Non
RE000064,2024-02-13,2024,2,Singapore,Singapore,44959,Peripherie,Duplex,En construction,Tres bon etat,2005,120,6,5,5,914000,0,0.0,7616.67,0.3,2.7,3.2,9.5,60,7372,2929,87,25,Demande > Offre,Oui,ADSL,Non,Non,Moyen (5-15 min),Oui,Oui
RE000065,2024-07-21,2024,7,Leeds,UK,77251,Nord,Appartement,A vendre,Tres bon etat,1904,56,5,4,4,239000,0,0.0,4267.86,0.5,7.6,1.2,4.4,78,6177,3097,86,29,Demande > Offre,Non,Fibre 500Mbps,Non,Non,Moyen (5-15 min),Non,Oui
RE000066,2021-04-09,2021,4,Lyon,France,34385,Quartier d'affaires,Local Commercial,Vendu,Bon etat,1915,446,9,0,1,3444000,0,0.0,7721.97,2.3,5.7,6.0,4.8,58,1313,3753,52,76,Offre > Demande,Non,Fibre 1Gbps,Non,Non,Loin (plus 15 min),Non,Oui
RE000067,2026-03-02,2026,3,Hong Kong,China,48058,Est,Villa,Vendu,Tres bon etat,1981,444,8,7,5,5595000,0,0.0,12601.35,-0.6,1.5,5.0,3.2,85,9476,3072,89,90,Offre > Demande,Oui,Fibre 500Mbps,Oui,Non,Proche (moins 5 min),Non,Non
RE000068,2025-05-14,2025,5,Singapore,Singapore,63843,Quartier residentiel,Entrepot,A vendre,Bon etat,2024,351,3,0,1,1247000,0,0.0,3552.71,0.4,7.1,4.9,8.8,61,2214,3594,94,27,Demande > Offre,Oui,Fibre 1Gbps,Oui,Non,Moyen (5-15 min),Oui,Oui
RE000069,2023-08-14,2023,8,Phoenix,USA,55353,Est,Maison,Vendu,Ancien,2022,208,4,3,3,480000,0,0.0,2307.69,1.7,4.3,1.8,11.5,59,2904,2815,35,23,Demande > Offre,Non,Fibre 1Gbps,Oui,Non,Loin (plus 15 min),Non,Oui
RE000070,2026-06-01,2026,6,Bristol,UK,91016,Centre,Bureau,Loue,Bon etat,1937,692,9,0,1,2493000,14600,7.0,3602.6,0.8,3.9,4.4,4.4,76,8033,3854,56,63,Offre > Demande,Non,Fibre 500Mbps,Non,Non,Loin (plus 15 min),Non,Non
RE000071,2024-06-21,2024,6,Bordeaux,France,58567,Peripherie,Penthouse,A louer,A renover,1934,211,6,5,1,1143000,3100,3.3,5417.06,4.6,7.0,3.1,11.7,60,5464,4782,70,44,Demande > Offre,Non,Fibre 500Mbps,Non,Non,Moyen (5-15 min),Non,Non
RE000072,2020-04-04,2020,4,Nantes,France,61543,Quartier d'affaires,Studio,Vendu,Neuf,1906,75,1,1,1,302000,0,0.0,4026.67,2.6,4.0,3.7,10.6,77,2294,2216,76,71,Demande > Offre,Oui,ADSL,Oui,Non,Proche (moins 5 min),Oui,Non
RE000073,2026-03-16,2026,3,Dallas,USA,19637,Quartier residentiel,Local Commercial,En construction,Ancien,1935,511,9,0,1,1965000,0,0.0,3845.4,0.8,6.5,2.7,11.5,98,2463,1680,95,71,Demande > Offre,Oui,Fibre 1Gbps,Oui,Non,Proche (moins 5 min),Oui,Non
RE000074,2025-04-24,2025,4,Singapore,Singapore,69898,Nord,Entrepot,Vendu,Ancien,1941,1255,3,0,1,4877000,0,0.0,3886.06,3.2,2.7,2.7,10.5,84,8125,4661,68,80,Offre > Demande,Non,Fibre 1Gbps,Non,Non,Moyen (5-15 min),Oui,Non
RE000075,2023-06-14,2023,6,Lyon,France,88238,Quartier d'affaires,Loft,En construction,Neuf,1992,1542,10,9,4,9943000,0,0.0,6448.12,3.0,6.3,2.9,10.4,65,617,4740,44,44,Equilibre,Non,Fibre 1Gbps,Non,Non,Moyen (5-15 min),Non,Oui
RE000076,2024-08-18,2024,8,Houston,USA,63788,Quartier d'affaires,Appartement,Loue,Bon etat,1971,55,5,4,2,170000,650,4.6,3090.91,-0.8,7.3,2.7,6.2,99,4431,4016,54,51,Demande > Offre,Non,ADSL,Non,Oui,Moyen (5-15 min),Non,Oui
RE000077,2025-06-25,2025,6,London,UK,72888,Ouest,Local Commercial,En construction,Neuf,1936,788,5,0,1,12481000,0,0.0,15838.83,4.9,6.6,5.8,10.2,68,789,2406,40,64,Offre > Demande,Non,Sans fil,Non,Non,Loin (plus 15 min),Non,Oui
RE000078,2022-04-07,2022,4,Hong Kong,China,45537,Est,Villa,A louer,Tres bon etat,1975,135,7,6,5,1504000,9450,7.5,11140.74,-0.4,2.2,1.5,6.0,80,1747,1176,30,90,Offre > Demande,Non,Fibre 500Mbps,Non,Non,Loin (plus 15 min),Non,Non
RE000079,2022-03-27,2022,3,Dallas,USA,52096,Est,Appartement,A louer,Neuf,1968,42,5,4,2,160000,950,7.1,3809.52,4.5,0.8,5.2,10.1,61,4842,356,31,58,Offre > Demande,Non,Fibre 1Gbps,Non,Non,Moyen (5-15 min),Non,Oui
RE000080,2025-08-27,2025,8,Cardiff,UK,45761,Sud,Maison,A louer,Bon etat,1958,249,4,3,3,855000,3350,4.7,3433.73,0.1,5.6,2.0,8.5,90,6743,3553,95,61,Demande > Offre,Oui,Fibre 1Gbps,Non,Non,Loin (plus 15 min),Oui,Oui
RE000081,2021-07-29,2021,7,Dubai,UAE,52415,Sud,Appartement,Vendu,Bon etat,1957,86,4,3,1,418000,0,0.0,4860.47,-1.9,5.4,4.5,3.6,57,7725,2563,50,71,Offre > Demande,Non,ADSL,Oui,Non,Moyen (5-15 min),Oui,Oui
RE000082,2021-07-01,2021,7,Dubai,UAE,30078,Quartier d'affaires,Entrepot,Loue,Ancien,1989,965,7,0,1,3518000,20550,7.0,3645.6,3.8,6.2,4.4,8.4,100,1441,4354,87,87,Equilibre,Oui,ADSL,Oui,Non,Loin (plus 15 min),Oui,Oui
RE000083,2026-02-21,2026,2,Sharjah,UAE,36497,Nord,Villa,En construction,Tres bon etat,1914,247,7,6,4,2074000,0,0.0,8396.76,1.1,0.9,1.7,6.7,86,1045,4627,89,59,Demande > Offre,Oui,Fibre 1Gbps,Non,Non,Moyen (5-15 min),Oui,Oui
RE000084,2026-06-26,2026,6,Nice,France,15936,Quartier residentiel,Penthouse,Loue,Neuf,2019,329,3,2,1,2876000,12100,5.0,8741.64,3.4,6.2,5.9,8.8,76,6235,3183,87,68,Demande > Offre,Oui,Sans fil,Oui,Oui,Loin (plus 15 min),Non,Oui
RE000085,2022-01-01,2022,1,Hong Kong,China,61518,Nord,Studio,Loue,Bon etat,2025,20,1,1,1,72000,350,5.8,3600.0,1.7,6.7,2.2,6.1,67,3188,974,34,73,Offre > Demande,Non,Fibre 1Gbps,Oui,Oui,Proche (moins 5 min),Oui,Oui
RE000086,2025-01-02,2025,1,Toronto,Canada,98083,Centre,Studio,En construction,Tres bon etat,1956,31,1,1,1,108000,0,0.0,3483.87,-1.6,4.3,2.4,10.3,96,9538,2662,71,50,Demande > Offre,Non,ADSL,Oui,Oui,Moyen (5-15 min),Non,Non
RE000087,2020-09-06,2020,9,Tokyo,Japan,87550,Nord,Duplex,Loue,Bon etat,2024,364,6,5,1,2155000,8250,4.6,5920.33,0.9,1.6,2.9,9.8,80,4048,1896,68,38,Demande > Offre,Non,Sans fil,Oui,Non,Loin (plus 15 min),Non,Non
RE000088,2026-04-01,2026,4,Singapore,Singapore,27575,Quartier residentiel,Studio,Loue,Neuf,1942,85,1,1,1,571000,1650,3.5,6717.65,3.1,1.9,2.3,9.1,88,747,646,54,47,Demande > Offre,Non,Sans fil,Oui,Non,Moyen (5-15 min),Oui,Oui
RE000089,2022-02-17,2022,2,Montpellier,France,72773,Sud,Entrepot,En construction,Tres bon etat,1950,1641,4,0,1,5401000,0,0.0,3291.29,1.3,5.4,2.5,6.2,81,7735,857,90,60,Demande > Offre,Oui,Fibre 500Mbps,Non,Non,Moyen (5-15 min),Non,Oui
RE000090,2026-04-23,2026,4,Phoenix,USA,29126,Centre,Loft,A louer,Tres bon etat,1937,1333,10,9,5,7238000,29550,4.9,5429.86,3.8,4.2,4.3,9.2,66,8105,4068,88,41,Demande > Offre,Oui,ADSL,Oui,Non,Proche (moins 5 min),Non,Oui
